law_index,madeh_index,madeh_text
0,11,"‌ماده 11
به موجب ماده (2) قانون اصلاح موادی از قانون مالیات­های مستقیم، مصوب 1380/11/27، مقررات مربوط به وصول مالیات مستغلات مسکونی خالی نسخ شده است.
البته به موجب بند 12 ماده واحده قانون اصلاح قانون مالیات­های مستقیم، مصوب 1394/04/31، مقررات مربوط به وضع مالیات بر واحدهای مسکونی خالی در ماده 54 مکرر الحاقی به قانون مزبور، تصریح شده است.

"
0,12,"‌ماده 12
به موجب ماده (2) قانون اصلاح موادی از قانون مالیات­های مستقیم، مصوب 1380/11/27، مقررات مربوط به وصول مالیات بر اراضی بایر نسخ شده است.
به موجب ماده (15) قانون ساماندهی و حمایت از تولید و عرضه مسکن مصوب 1387/02/25 اراضی بایر با کاربری مسکونی مشمول مالیات به نرخ دوازده درصد (12%) به ماخذ ارزش معاملاتی می‌باشد.

"
0,13,"‌ماده 13
به موجب ماده (2) قانون اصلاح موادی از قانون مالیات­های مستقیم، مصوب 1380/11/27، مقررات مربوط به وصول مالیات بر اراضی بایر نسخ شده است.

"
0,14,"‌ماده 14
به موجب ماده (2) قانون اصلاح موادی از قانون مالیات­های مستقیم، مصوب 1380/11/27، مقررات مربوط به وصول مالیات بر اراضی بایر نسخ شده است.

"
0,15,"‌ماده 15
به موجب ماده (2) قانون اصلاح موادی از قانون مالیات­های مستقیم، مصوب 1380/11/27، مقررات مربوط به وصول مالیات بر اراضی بایر نسخ شده است.

"
0,16,"‌ماده 16
به موجب ماده (2) قانون اصلاح موادی از قانون مالیات­های مستقیم، مصوب 1380/11/27، مقررات مربوط به وصول مالیات بر اراضی بایر نسخ شده است.

"
0,17,"‌ماده 17
(اصلاحی 1394/04/31)- اموال و دارایی ­هایی که در نتیجه فوت شخص اعم از فوت واقعی یا فرضی انتقال می یابد، به شرح زیر مشمول مالیات است:

1- نسبت به سپرده‌های بانکی، اوراق مشارکت و سایر اوراق بهادار به‌ استثنای موارد مندرج در بند (2) این ماده و سودهای متعلق به آنها و همچنین سود سهام و سهم الشرکه تا تاریخ ثبت انتقال به نام وراث و یا پرداخت و تحویل به آنها به نرخ سه درصد (3%)

2- نسبت به سهام و سهم الشرکه و حق تقدم آنها یک و نیم (1/5) برابر نرخهای مذکور در تبصره (1) ماده (143) و ماده (143مکرر) این قانون طبق مقررات مزبور در تاریخ ثبت انتقال به نام وراث

3- نسبت به حق‌الامتیاز و سایر اموال و حقوق مالی که در بندهای مذکور به آنها تصریح نشده است، به نرخ ده درصد (10%) ارزش روز در تاریخ تحویل یا ثبت انتقال به نام وراث

4- نسبت به انواع وسایل نقلیه موتوری، زمینی، دریایی و هوایی به نرخ دو درصد (2%) بهای اعلامی توسط سازمان امور مالیاتی کشور در تاریخ ثبت انتقال به نام وراث

5- نسبت به املاک و حق واگذاری محل یک و نیم (1/5) برابر نرخهای مذکور در ماده (59) این قانون به ماخذ ارزش معاملاتی املاک و یا به ماخذ ارزش روز حق واگذاری حسب مورد، در تاریخ ثبت انتقال به نام وراث

6- نسبت به اموال و دارایی­ های متعلق به متوفای ایرانی که در خارج از کشور واقع شده است پس از کسر مالیات بر ارثی که از آن بابت به دولت محل وقوع اموال و دارایی­ ها پرداخت شده است به نرخ ده درصد (10%) ارزش ماترک که ماخذ محاسبه مالیات بر ارث در کشور محل وقوع مال قرار گرفته است. در صورت عدم شمول مالیات بر ارث در کشور مزبور به ماخذ ارزش روز انتقال یا تحویل به نام وراث

تبصره 1- محاسبه و اخذ مالیات بر ارث در مورد متوفیان قبل از لازم الاجراء شدن این قانون (1395/01/01) اعم از اینکه پرونده مالیاتی برای آنها تشکیل شده یا نشده باشد، مشمول حکم این ماده نخواهد بود.

تبصره 2- نرخهای مذکور در این ماده مربوط به وراث طبقه اول است. در صورتی که وراث طبقات دوم و سوم باشند، نرخهای مذکور در این ماده به ترتیب دو و چهار برابر خواهد شد.

تبصره 3- درصورتی که متوفی و وراث، تبعه خارجی باشند، اموال و دارایی‌های متوفی که در ایران واقع است، مشمول مالیات به نرخ وراث طبقه اول خواهد بود.

تبصره 4- در مواردی که وراث سهم خود از اموال موضوع بندهای (2)، (4) و (5) این ماده را به اشخاص ثالث یا وراث دیگر انتقال دهند، علاوه بر مالیات بر ارث به شرح این فصل، مشمول مالیات طبق مقررات فصول مربوط خواهند بود.

تبصره 5- حقوق ناشی از عقود اجاره به شرط تملیک با بانکها و سایر نهادهای مالی و اعتباری، نسبت به عرصه و اعیان املاک بر اساس ارزش معاملاتی در تاریخ ثبت انتقال به نام وراث محاسبه خواهد شد.

"
0,18,"ماده 18
وراث از نظر این قانون به سه طبقه تقسیم میشوند:
1 - وراث طبقه اول که عبارتند از: پدر، مادر، زن، شوهر، اولاد، و اولاد اولاد.
2 - وراث طبقه دوم که عبارتند از: اجداد، برادر، خواهر و اولاد آنها.
3 - وراث طبقه سوم که عبارتند از: عمو، عمه، دائی، خاله و اولاد آنها.
"
0,19,"ماده 19
به موجب بند 2 ماده واحده قانون اصلاح قانون مالیات­های مستقیم، مصوب 1394/04/31، نسخ شده است.

"
0,20,"‌ماده 20
به موجب بند 2 ماده واحده قانون اصلاح قانون مالیات­های مستقیم، مصوب 1394/04/31، نسخ شده است.

"
0,21,"ماده 21
(اصلاحی 1394/04/31)- اموالی که جزء ماترک متوفی باشد و طبق قوانین یا احکام خاص، مالکیت آنها سلب و یا به صورت بلاعوض در اختیار ­اشخاص موضوع ماده (2) این قانون قرار گیرد، با تایید ­اشخاص مزبور از شمول مالیات بر ارث خارج و در ­صورتی که بابت سلب مالکیت عوضی داده شود، ارزش آن عوض یا اموال سلب مالکیت شده هر کدام کمتر باشد، جزء اموال­ مشمول­ مالیات بر ارث­ موضوع­ ردیفهای مربوط در ماده (17) این قانون محسوب و مشمول مالیات خواهد بود.

"
0,22,"ماده 22
به موجب بند 2 ماده واحده قانون اصلاح قانون مالیات­های مستقیم، مصوب 1394/04/31، نسخ شده است.

"
0,23,"‌ماده 23
در تاریخ 1371/02/07 نسخ شده است.

"
0,24,"ماده 24
اموال زیر از شمول مالیات این فصل خارج است:

1 (اصلاحی 1394/04/31)- وجوه بازنشستگی و وظیفه و پس‌انداز خدمت و مزایای پایان خدمت، مطالبات مربوط به خسارت اخراج، بازخرید خدمت و مرخصی ‌استحقاقی استفاده نشده و بیمه‌های اجتماعی و نیز وجوه پرداختی توسط موسسات بیمه یا بیمه‌گزار و یا کارفرما از قبیل‌ انواع بیمه‌های عمر و زندگی، خسارت فوت و همچنین دیه و مانند آنها حسب مورد که یکجا و یا به طور مستمر به ورثه متوفی پرداخت می‌گردد.

2 (اصلاحی 1380/11/27)- اموال منقول متعلق به مشمولین بند (4) ماده (39) قرارداد وین مورخ فروردین 1340 و ماده (51) قرارداد وین مورخ اردیبهشت ماه 1342 و بند (4) ماده (38) قرارداد وین مورخ ‌اسفندماه 1353 با رعایت شرایط مقرر در قرارداد مزبور با شرط معامله ‌متقابل.

3 (اصلاحی 1380/11/27)- اموالی که برای سازمانها و موسسه‌های مذکور در ماده (2) این قانون مورد وقف یا نذر یا حبس واقع گردد به شرط تایید سازمانها و موسسه‌های‌ مذکور.

4 (اصلاحی 1394/04/31)- اثاث‌البیت محل سکونت متوفی

"
0,25,"ماده 25
وراث طبقات اول و دوم نسبت به اموال شهدای ‌انقلاب اسلامی مشمول مالیات بر ارث موضوع این فصل نخواهند بود.
احراز شهادت برای استفاده از مقررات این ماده منوط به تایید یکی از نیروهای مسلح جمهوری اسلامی ایران و یا بنیاد شهید انقلاب اسلامی حسب مورد می ‌باشد.

"
0,26,"ماده 26
(اصلاحی 1394/4/31)- وراث متوفی (منفردا یا مجتمعا) یا ولی یا امین یا قیم یا نماینده قانونی آنها موظفند به منظور کسر هزینه‌های کفن و دفن در حدود عرف و عادات و واجبات مالی و عبادی در حدود قواعد شرعی و دیون محقق متوفی از ماترک موضوع ماده (17) این قانون، ظرف مدت یک سال از تاریخ فوت متوفی اظهارنامه‌ای حاوی کلیه اقلام ماترک با تعیین ارزش روز زمان فوت و تصریح مطالبات و بدهی‌ها طبق فرم نمونه مخصوصی که از طرف سازمان امور مالیاتی کشور تهیه می‌شود به انضمام مدارک زیر به اداره امور مالیاتی صلاحیتدار تسلیم نماید:

1-رونوشت یا تصویر گواهی شده اسناد مربوط به بدهی‌ها و مطالبات متوفی

2-رونوشت یا تصویر گواهی شده کلیه اوراقی که مثبت حق مالکیت متوفی نسبت به اموال و حقوق مالی است.

3-رونوشت یا تصویر گواهی شده آخرین وصیتنامه متوفی اگر وصیتنامه موجود باشد.

4-در صورتی که اظهارنامه از طرف­ وکیل یا قیم یا ولی داده شود رونوشت یا تصویر گواهی شده وکالتنامه یا قیم‌نامه

5-رونوشت یا تصویر گواهی فوت از مراجع ذی‌ربط

اداره امور مالیاتی مربوط مکلف است اظهارنامه تسلیمی در مهلت مقرر را رسیدگی و به شرح زیر اقدام کند:

الف - در صورتی که ارزش روز کلیه ماترک متوفی کمتر از دیون محقق متوفی، واجبات مالی و عبادی و هزینه کفن و دفن باشد، اموال و دارایی‌های متوفی مشمول مالیات موضوع ماده (17) این قانون نخواهد شد و مالیات‌های پرداختی ماده مذکور با ارائه اسناد و مدارک مثبته به پرداخت‌کننده مسترد خواهد شد.

ب - در صورتی که ارزش روز ماترک بیشتر از دیون محقق متوفی، واجبات مالی و عبادی و هزینه‌های کفن و دفن باشد، در این صورت موارد مزبور به ترتیب از ارزش روز اموال و دارایی‌های موضوع بندهای(1)، (2)، (3)، (4) و (5) ماده(17) این قانون کسر و مازاد ماترک حسب مورد به ماخذ مقرر در ماده مزبور مشمول مالیات خواهد شد و اضافه مالیات‌های پرداختی موضوع ماده(17) این قانون با ارائه اسناد و مدارک مثبته به پرداخت‌کننده مسترد خواهد شد.

ج - در صورتی که کل ماترک یا بخشی از آن مطابق بندهای(الف) و (ب) مشمول مالیات نباشد، اداره امور مالیاتی موظف است گواهی لازم مبنی بر بلامانع بودن ثبت یا انتقال یا پرداخت یا تحویل اموال و دارایی غیرمشمول متوفی به وراث را حسب موارد مذکور در ماده(17) این قانون به‌عنوان مراجع ذی‌ربط صادر نماید.

تبصره 1- در صورتی که بدهی متوفی مستند به مدارک و اسناد مثبته قانونی بوده و اصالت آن مورد تایید اداره امور مالیاتی صلاحیتدار قرار گیرد قابل کسر از ماترک خواهد بود.

تبصره 2- آیین‌نامه اجرایی این ماده درمورد نحوه رسیدگی، ارزیابی اموال و دارایی‌ها و صدور گواهی توسط وزارت امور اقتصادی و دارایی تهیه می‌شود و به ‌تصویب هیات وزیران می‌رسد.

"
0,27,"ماده 27
به موجب بند 2 ماده واحده قانون اصلاح قانون مالیات­های مستقیم، مصوب 1394/4/31، ماده (27) و تبصره آن نسخ شده است.

"
0,28,"‌ماده 28
به موجب بند 2 ماده واحده قانون اصلاح قانون مالیات­های مستقیم، مصوب 1394/4/31، ماده (28) و تبصره آن نسخ شده است.

"
0,29,"ماده 29
به موجب بند 2 ماده واحده قانون اصلاح قانون مالیات­های مستقیم، مصوب 1394/4/31، ماده (29) نسخ شده است.

"
0,30,"ماده 30
به موجب بند 2 ماده واحده قانون اصلاح قانون مالیات­های مستقیم، مصوب 1394/4/31، ماده (30) و تبصره آن نسخ شده است.

"
0,31,"ماده 31
به موجب بند 2 ماده واحده قانون اصلاح قانون مالیات­های مستقیم، مصوب 1394/4/31، ماده (31) نسخ شده است.

"
0,32,"ماده 32
به موجب بند 2 ماده واحده قانون اصلاح قانون مالیات­های مستقیم، مصوب 1394/4/31، ماده (32) و تبصره های آن نسخ شده است.

"
0,33,"ماده 33
ماموران کنسولی ایران در خارج از کشور موظف اند ظرف سه ماه از تاریخ اطلاع از وقوع فوت اتباع ایرانی‌ مراتب را ضمن ارسال کلیه اطلاعات در مورد ماترک آنان اعم از منقول یا غیرمنقول واقع در کشور محل ماموریت خود، با تعیین مشخصات و ارزش آنها، از طریق وزارت امور خارجه به وزارت امور اقتصادی و دارایی اعلام نمایند.

تبصره - آیین‌نامه اجرایی این ماده ظرف شش ماه از تاریخ ‌تصویب این قانون توسط وزارتخانه‌های امور اقتصادی و دارایی و امور خارجه تهیه و به تصویب هیات وزیران خواهد رسید.

"
0,34,"ماده 34
(اصلاحی 1394/04/31)- اشخاص زیر مجاز نیستند قبل از اخذ گواهی پرداخت مالیات مربوط موضوع این قانون، اموال و دارایی‌­های متوفی را به وراث یا موصی­‌له تسلیم کنند و یا به نام آنها ثبت و یا معاملاتی راجع به اموال و دارایی‌های مزبور انجام دهند:

1- بانکها و سایر موسسات مالی و اعتباری، شرکتها، موسسات، نهادهای عمومی غیردولتی و سایر اشخاص حقوقی دولتی و غیر دولتی که وجوه نقد یا سفته یا جواهر و یا هر نوع مال دیگر از متوفی نزد خود دارند.

2- ادارات ثبت اسناد و املاک موقعی که مال غیر منقول را به اسم وراث یا موصی ­له ثبت می­ نمایند.

3- دفاتر اسناد رسمی موقعی که می ­خواهند تقسیم‌نامه یا هر نوع معامله وراث راجع به اموال و دارایی‌های متوفی را ثبت نمایند.

4- شرکت هایی که متوفی در آنها مالک سهام یا سهم الشرکه می­ باشد.

5- شرکت های کارگزاری، صندوق‌های سرمایه گذاری و سایر نهادهای مالی

6- صندوق‌های دادگستری و صندوق‌های ادارات ثبت اسناد و املاک کشور

اشخاص مذکور در بندهای یادشده (به‌استثنای اشخاص موضوع بندهای (2) و (6) این ماده و اشخاص موضوع بندهای (1) و (2) ماده (2) این قانون) در صورت تخلف علاوه بر اینکه تا معادل ارزش مال مشمول وراث نسبت به پرداخت مالیات و جرائم متعلق مسئولیت تضامنی دارند، مشمول جریمه‌ای به میزان دو برابر مالیات متعلق نیز خواهند بود. در مورد بانکها، شرکتها و موسسات دولتی، متخلف و شرکا و معاونان وی در تخلف نیز مسئولیت تضامنی خواهند داشت.

محاکم دادگستری، ادارات اجرای احکام دادگستری، ادارات ثبت اسناد و املاک کشور، سازمان اوقاف و امور خیریه و اداره سرپرستی صغار و محجورین، صندوق‌های دادگستری، صندوق‌های ادارات ثبت اسناد و املاک کشور و اشخاص موضوع بندهای (1) و (2) ماده (2) این قانون در صورتی که در حیطه وظایف قانونی خود حکمی را در خصوص اموال و دارایی‌های متوفی صادر یا اجراء نمایند، موظفند رونوشت یا تصویر آن حکم را ظرف مهلت ده روز حسب مورد پس از صدور یا اجراء به سازمان امور مالیاتی کشور ارسال کنند.

کارکنان مقصر کلیه اشخاص حقوقی مذکور، در صورت عدم ارسال حکم یا عدم اخذ مفاصای مالیاتی، علاوه بر مجازات مربوط به تخلفات اداری و قانونی دستگاه مربوط به خود، مکلف به پرداخت جزای نقدی معادل دو برابر خسارت وارده به دولت با اقامه دعوی از طرف سازمان امور مالیاتی کشور به موجب حکم مراجع قضایی ذی‌ربط خواهند بود. این حکم در مورد شرکا و معاونان متخلفان مذکور نیز مجری است.

تبصره ‌1- سازمان امور مالیاتی کشور می ­تواند اشخاصی را که اموال موضوع بند (1) ماده (17) این قانون را نزد خود دارند مکلف نماید قبل از پرداخت یا تحویل اموال مزبور به وراث، مالیات متعلق را کسر و تا آخر ماه بعد از پرداخت به حساب سازمان امور مالیاتی کشور واریز و مابقی آن را به وراث یا ذی­نفعان دیگر پرداخت نمایند. در این صورت، اشخاص مذکور مکلفند مشخصات وراث یا ذی­نفعان دیگر و مبالغ پرداختی را ظرف مدت مذکور به سازمان امور مالیاتی کشور اعلام کنند.

تبصره ‌2- آیین‌نامه اجرایی این ماده به‌پیشنهاد وزارت امور اقتصادی و دارایی ظرف مدت شش ماه پس از تصویب این قانون به‌ تصویب هیات‌ وزیران خواهد رسید.

"
0,35,"ماده 35
به موجب بند 6 ماده واحده قانون اصلاح قانون مالیات­های مستقیم مصوب 1394/04/31، ماده 35 نسخ شده است.

"
0,36,"ماده 36
به موجب بند 6 ماده واحده قانون اصلاح قانون مالیات­های مستقیم مصوب 1394/04/31، ماده 36 نسخ شده است.

"
0,37,"‌ماده 37
به موجب بند 6 ماده واحده قانون اصلاح قانون مالیات­های مستقیم مصوب 1394/04/31، ماده 37 نسخ شده است.

"
0,38,"‌ماده 38
(اصلاحی 1394/04/31)- اموالی که به ‌موجب نذر یا وصیت حسب مورد به وراث منتقل می‌شود به نرخ مذکور در ماده (17) این قانون و در صورتی که به غیر وراث به استثنای اشخاص مذکور در بند (3) ماده (24) این قانون، منتقل شود مشمول مالیات بر درآمد اتفاقی خواهد بود
در مواردی که منافع مالی، مورد نذر یا وصیت باشد و همچنین منافع مالی که مورد وقف و حبس است، اشخاص منتفع از منافع به استثنای اشخاص مذکور در بند (3) ماده (24) این قانون نسبت به منافع هر سال مشمول مالیات بر درآمد خواهند بود.

تبصره- مال مورد وصیت وقتی مشمول مالیات خواهد بود که وصیت با فوت موصی قطعی شده باشد.

"
0,39,"ماده 39
(اصلاحی 1394/04/31)- در مورد وقف، متولی و در مورد حبس و نذر، حبس و نذرکننده و در مورد وصیت، وصی مکلف ­اند حداکثر ظرف سه ماه از تاریخ وقوع‌ عقد یا فوت موصی، حسب مورد، اظهارنامه‌ ای روی نمونه‌ ای که از طرف سازمان امور مالیاتی کشور تهیه می‌شود حاوی مشخصات و ارزش مال‌ مورد وقف یا حبس یا نذر یا وصیت به انضمام اسناد مربوطه به اداره امور مالیاتی صلاحیت ­دار تسلیم و رسید دریافت دارند [و] ‌مالیات متعلق را حداکثر ظرف سه ماه از تاریخ انقضای مهلت تسلیم اظهارنامه پرداخت کنند.

تبصره- در مواردی که موضوع وقف یا حبس یا نذر یا وصیت از مصادیق بند (3) ماده (24) این قانون یا مشمول مقررات فصل مالیات بر درآمد اتفاقی باشد واقف یا متولی، یا حبس و نذرکننده یا وصی حسب مورد مکلفند مشخصات اموال مورد وقف یا حبس یا نذر یا وصیت و مشخصات ذی‌نفع را روی نمونه‌ای که از طرف سازمان امور مالیاتی کشور تهیه می‌شود درج و حداکثر ظرف مدت سه ماه از تاریخ وقوع عقد یا فوت موصی به اداره امور مالیاتی صلاحیتدار تسلیم کنند و رسید دریافت دارند.

"
0,40,"ماده 40
­به موجب بند 6 ماده واحده قانون اصلاح قانون مالیات­های مستقیم، مصوب 1394/04/31، ماده 40 نسخ شده است.

"
0,41,"ماده 41
­به موجب بند 6 ماده واحده قانون اصلاح قانون مالیات­های مستقیم، مصوب 1394/04/31، ماده 41 نسخ شده است.

"
0,42,"‌ماده 42
­به موجب بند 6 ماده واحده قانون اصلاح قانون مالیات­های مستقیم، مصوب 1394/04/31، ماده 42 نسخ شده است.

"
0,43,"‌ماده 43
­به موجب بند 6 ماده واحده قانون اصلاح قانون مالیات­های مستقیم، مصوب 1394/04/31، ماده 43 نسخ شده است.

"
0,44,"‌ماده 44
(اصلاحی 1380/11/27)- از هر برگ چک که از طرف بانک‌ها چاپ می‌شود در موقع چاپ دویست (200) ریال حق تمبر اخذ می‌شود.
"
0,45,"ماده 45
(اصلاحی 1394/04/31)- از اوراق مشروحه زیر نسبت به مبلغ آنها معادل سه در هزار حق تمبر اخذ میشود.
- برات.
- فته‌طلب (‌سفته) و نظایر آنها.

تبصره - حق تمبر مقرر در این ماده بابت کمتر از هزار ریال معادل حق تمبر هزار ریال خواهد بود.

"
0,46,"‌ماده 46
از کلیه اسناد تجاری قابل انتقال که در ایران صادر و یا معامله و مورد استفاده قرار داده می‌ شود (‌به استثنای اوراق مذکور در مواد 45 و 48 این قانون) و اسناد کاشف از حقوق مالکیت نسبت به مال‌التجاره از قبیل بارنامه دریایی و هوایی و همچنین اوراق بیمه مال‌التجاره پنج هزار (5000) ریال و بارنامه زمینی و صورت وضعیت مسافری یک هزار (1000) ریال حق تمبر دریافت خواهد شد. موسسه‌های حمل و نقل، مسئول تنظیم دقیق بارنامه هستند و باید هویت و نشانی صحیح صاحب کالا و سایر ‌اطلاعات مربوط را در آن درج نمایند و نسخ کافی اوراق مذکور را حداقل تا پنج سال از تاریخ صدور نگاهداری کنند.

تبصره (الحاقی 1380/11/27)- از اوراق و مدارک زیر به شرح مقرر در این تبصره حق تمبر اخذ می ‌شود:

1-از کارت معافیت هریک از مشمولان که به انحای مختلف از انجام دادن خدمت وظیفه معاف می‌شوند، بابت صدور کارت معافیت مذکور، مبلغ ‌ده هزار(10,000) ریال.

2- از هرگونه گواهی­نامه رانندگی بین‌المللی مبلغ پنجاه هزار (50,000) ریال.

3-از هر پلاک ترانزیت انواع خودرو و همچنین از شماره ­گذاری هر وسیله نقلیه که به صورت موقت وارد کشور می ‌شود مبلغ دویست هزار (200,000) ریال.

4-از گواهینامه رانندگی انواع خودرو به ازای هر سال مدت اعتبار مبلغ یک هزار (1000) ریال.

5-از کارنامه و گواهینامه دانش‌آموزان دوره ابتدایی، راهنمایی و متوسطه مبلغ یک هزار (1000) ریال.

6-از دانشنامه و گواهی دانشنامه کاردانی، کارشناسی، کارشناسی ارشد، دکترا و بالاتر مبلغ ده هزار (10,000) ریال.

7-از گواهی ارزش تحصیلی دوره‌های ابتدایی، راهنمایی و متوسطه خارجی مبلغ بیست هزار (20,000) ریال.

8-از گواهی ارزش تحصیلی دوره‌های فنی و حرفه‌ای و دانشگاهی خارجی مبلغ پنجاه هزار (50,000) ریال.

9-از پروانه مامایی یا مدرک تحصیلی دوره کاردانی و دندانپزشکی تجربی مبلغ بیست هزار (20,000) ریال.

10-از پروانه مشاغل پزشکی، دندانپزشکی، پیراپزشکی، دامپزشکی و داروسازی مبلغ یکصد هزار (100,000) ریال.

11-از جواز تاسیس، کارت شناسایی­ واحدهای تولیدی و معدنی، کارت بازرگانی، پروانه وکالت و کارشناسی و سایر پروانه‌های­کسب و کار، بابت‌ صدور مبلغ یکصد هزار (100,000) ریال و بابت تجدید آنها مبلغ پنجاه هزار (50,000) ریال.

"
0,47,"ماده 47
(اصلاحی 1380/11/27)- از کلیه قراردادها و اسناد مشابه آنها به شرح زیر که بین بانک‌ها و مشتریان آنها مبادله یا از طرف مشتریان تعهد می‌شود در صورتی که در‌دفاتر اسناد رسمی ثبت نشود معادل ده هزار (10000) ریال حق تمبر اخذ می‌شود.
1 - برگ قبول شرایط عمومی حسابجاری.
2 - قرارداد وام یا اعطای تسهیلات از هر نوع که باشد و نیز اوراق و فرمهای تعهدآوری که بانک‌ها به نام‌های مختلف در موقع انجام معاملات به امضای مشتریان خود میرسانند.
3 - قراردادهای انواع سپرده ‌های سرمایه‌ گذاری.
4 - وکالتنامه‌ های بانکی که در دفتر بانک تنظیم میشود و مشتریان حق امضای خود را به دیگری واگذار می ‌نمایند.
5 - قراردادهای دیگری که بین بانک‌ها و مشتریان منعقد میشود و طرفین تعهدات و مسئولیتهائی را به عهده می ‌گیرند و به امور مذکور در این‌ ماده مرتبط میشود.
6 - ضمانت نامه ‌های صادره از طرف بانک‌ها.
7 - تقاضای صدور ضمانت نامه در صورتی که تقاضا از طرف بانک قبول شده و ضمانت نامه صادر گردد.
8 - تقاضای گشایش اعتبار اسنادی برای داخله ایران یا برای کشورهای خارج در صورتی که تقاضا از طرف بانک قبول شده و اعتبار اسنادی ‌گشایش یابد.

"
